"","date","Price","Quantity","Indicator","latitude","longitude","elev","ws","wd","air_temp","atmos_pres","visibility","dew_point","RH","ceil_hgt","precip_6","season","weekday","month","day","month_name","hour"
"1",2021-01-01 00:30:00,38.04,6846.57,"Before",-33.9,151.1166666,3,7.2,140,20.9,NA,NA,13.4,62.3532100676633,NA,NA,"summer (DJF)","Friday","01","01","Jan","00"
"2",2021-01-01 01:00:00,38.1,6610.45,"Before",-33.9,151.1166666,3,5.1,170,21,NA,NA,12.9,59.9887430247375,NA,NA,"summer (DJF)","Friday","01","01","Jan","01"
"3",2021-01-01 01:30:00,32.26,6268.29,"Before",-33.9,151.1166666,3,5.1,170,21,NA,NA,12.9,59.9887430247375,NA,NA,"summer (DJF)","Friday","01","01","Jan","01"
"4",2021-01-01 02:00:00,32.45,6043.2,"Before",-33.9,151.1166666,3,5.1,150,21.4,NA,NA,12.8,58.1519769150473,NA,NA,"summer (DJF)","Friday","01","01","Jan","02"
"5",2021-01-01 02:30:00,27.76,5826.44,"Before",-33.9,151.1166666,3,5.1,150,21.4,NA,NA,12.8,58.1519769150473,NA,NA,"summer (DJF)","Friday","01","01","Jan","02"
"6",2021-01-01 03:00:00,26.83,5718.76,"Before",-33.9,151.1166666,3,5.7,140,21.1,NA,NA,12.5,58.0847789811968,NA,NA,"summer (DJF)","Friday","01","01","Jan","03"
"7",2021-01-01 03:30:00,25.64,5672.01,"Before",-33.9,151.1166666,3,5.7,140,21.1,NA,NA,12.5,58.0847789811968,NA,NA,"summer (DJF)","Friday","01","01","Jan","03"
"8",2021-01-01 04:00:00,26.31,5611.96,"Before",-33.9,151.1166666,3,6.2,150,20.6,NA,NA,12.1,58.3537438786674,NA,0,"summer (DJF)","Friday","01","01","Jan","04"
"9",2021-01-01 04:30:00,29.42,5652.02,"Before",-33.9,151.1166666,3,6.2,150,20.6,NA,NA,12.1,58.3537438786674,NA,0,"summer (DJF)","Friday","01","01","Jan","04"
"10",2021-01-01 05:00:00,31.15,5658.64,"Before",-33.9,151.1166666,3,4.6,140,20.4,NA,NA,12.9,62.2485548689958,NA,NA,"summer (DJF)","Friday","01","01","Jan","05"
