YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,1,1,10,21.5,15.89,18.69,268.07,986.67,0.2,0.08,22.18,141.5,453.02,22.15,0.77,3.85
2021,1,1,11,21.45,15.83,18.64,282.23,1046.25,0.2,0.08,12.7,150.4,479.77,23.39,0.84,4.35
2021,1,1,12,21.19,15.76,18.48,277.52,1042.75,0.2,0.08,13.26,148.7,477.92,23.16,0.83,4.3
2021,1,1,13,20.94,15.65,18.29,174.48,976.52,0.13,0.07,23.14,96.9,447.9,15.58,0.52,2.58
2021,1,1,14,20.69,15.52,18.11,201.67,851.42,0.17,0.08,35.14,104.83,391.12,16.41,0.51,2.58
2021,1,1,15,20.44,15.42,17.93,126.24,678.15,0.13,0.07,47.55,65.8,312.05,10.49,0.27,1.4
2021,1,1,16,20.17,15.39,17.78,109.22,471.15,0.16,0.07,59.95,53.23,216.58,8.28,0.16,0.77
2021,1,1,17,19.87,15.47,17.67,43.46,253,0.1,0.05,72.1,19,115.08,2.91,0.03,0.15
2021,1,1,18,19.58,15.52,17.55,22.64,61,0.15,0.05,83.81,9.65,26.45,1.43,0.01,0.02
2021,1,1,19,19.4,15.42,17.41,0,0,-999,-999,-999,0,0,0,0,0
2021,1,1,20,19.3,15.31,17.31,0,0,-999,-999,-999,0,0,0,0,0
2021,1,1,21,19.2,15.19,17.19,0,0,-999,-999,-999,0,0,0,0,0
2021,1,1,22,19.12,15.12,17.12,0,0,-999,-999,-999,0,0,0,0,0
2021,1,1,23,19.09,15.15,17.12,0,0,-999,-999,-999,0,0,0,0,0
2021,1,2,0,19.09,15.15,17.12,0,0,-999,-999,-999,0,0,0,0,0
2021,1,2,1,19.05,15.12,17.08,0,0,-999,-999,-999,0,0,0,0,0
2021,1,2,2,19,15.18,17.08,0,0,-999,-999,-999,0,0,0,0,0
2021,1,2,3,18.98,15.28,17.13,0,0,-999,-999,-999,0,0,0,0,0
2021,1,2,4,18.99,15.37,17.18,0,0,-999,-999,-999,0,0,0,0,0
2021,1,2,5,19.37,15.63,17.51,33.48,73.38,0.2,0.07,82.89,14.6,32.25,1.87,0.01,0.02
2021,1,2,6,19.91,15.69,17.8,91.92,270.88,0.2,0.06,71.21,42.42,124.52,6.15,0.07,0.33
2021,1,2,7,20.2,15.55,17.87,175.14,488.92,0.24,0.07,59.03,84.12,226.52,12.43,0.24,1.17
2021,1,2,8,20.51,15.44,17.98,234,693.35,0.24,0.08,46.62,117.67,320.9,17.95,0.47,2.42
2021,1,2,9,20.64,15.51,18.07,286.14,862.45,0.24,0.08,34.23,147,398.08,22.84,0.71,3.62
2021,1,2,10,20.72,15.64,18.18,360.64,981.9,0.27,0.08,22.32,184.48,451.6,28.26,0.98,4.9
2021,1,2,11,20.69,15.81,18.26,390.66,1041.73,0.28,0.08,12.82,204.48,478.62,31.56,1.13,5.85
2021,1,2,12,20.64,16.01,18.33,422.37,1037.77,0.3,0.08,13.27,217.6,476.5,33.39,1.2,6.15
2021,1,2,13,20.62,16.18,18.4,328.75,971.23,0.25,0.08,23.1,169.8,446.38,26.32,0.91,4.5
2021,1,2,14,20.63,16.34,18.49,235.16,846.55,0.2,0.08,35.08,121.8,389.8,19.16,0.6,3.08
2021,1,2,15,20.6,16.59,18.59,195.16,673.08,0.2,0.08,47.49,98.55,310.45,15.32,0.41,2.08
2021,1,2,16,20.47,16.84,18.65,138.68,466.4,0.2,0.07,59.88,67.02,214.9,10.15,0.19,0.92
2021,1,2,17,20.3,17.04,18.67,63.12,247.92,0.15,0.05,72.05,28.62,112.85,4.27,0.04,0.2
2021,1,2,18,20.01,17.27,18.65,47.34,58.8,0.31,0.09,83.77,19.73,25.65,2.39,0.01,0.02
2021,1,2,19,19.64,17.52,18.58,0,0,-999,-999,-999,0,0,0,0,0
2021,1,2,20,19.54,17.78,18.65,0,0,-999,-999,-999,0,0,0,0,0
2021,1,2,21,19.51,17.99,18.75,0,0,-999,-999,-999,0,0,0,0,0
2021,1,2,22,19.52,18.17,18.85,0,0,-999,-999,-999,0,0,0,0,0
2021,1,2,23,19.5,18.29,18.9,0,0,-999,-999,-999,0,0,0,0,0
2021,1,3,0,19.53,18.42,18.98,0,0,-999,-999,-999,0,0,0,0,0
2021,1,3,1,19.66,18.57,19.12,0,0,-999,-999,-999,0,0,0,0,0
2021,1,3,2,19.83,18.73,19.28,0,0,-999,-999,-999,0,0,0,0,0
2021,1,3,3,20.07,19.01,19.54,0,0,-999,-999,-999,0,0,0,0,0
2021,1,3,4,20.31,19.25,19.78,0,0,-999,-999,-999,0,0,0,0,0
2021,1,3,5,20.6,19.52,20.06,17.05,64.85,0.1,0.06,83.05,8.05,28.42,1.02,0,0.02
2021,1,3,6,20.92,19.85,20.38,85.38,249.67,0.19,0.05,71.35,40.05,113.65,5.89,0.06,0.3
2021,1,3,7,21.04,20.05,20.55,170.64,464.6,0.23,0.07,59.16,84.45,214.55,12.49,0.24,1.17
2021,1,3,8,21.26,20.12,20.69,293.21,670.17,0.3,0.08,46.77,146.65,310.38,21.69,0.58,2.98
2021,1,3,9,21.76,19.9,20.83,316.38,841.05,0.27,0.08,34.37,160.95,389.38,24.41,0.78,3.98
2021,1,3,10,22.53,19.65,21.09,524.17,962.77,0.41,0.08,22.45,260.92,444.85,38.13,1.33,6.65
2021,1,3,11,23.37,19.58,21.48,465.75,1023.9,0.34,0.08,12.95,241.08,473.1,36.03,1.34,6.95
2021,1,3,12,23.84,19.63,21.74,466.19,1021.83,0.34,0.08,13.3,234.8,472.23,35.1,1.29,6.67
2021,1,3,13,23.98,19.71,21.84,572.87,957.52,0.45,0.08,23.06,279.73,443.3,40.4,1.4,7.02
2021,1,3,14,23.93,19.76,21.85,496.48,835.6,0.43,0.08,35.03,237.35,387.77,34.04,1.05,5.42
2021,1,3,15,23.65,19.91,21.79,465.25,666.17,0.49,0.08,47.43,220.65,310,30.42,0.77,4.02
2021,1,3,16,23.24,20.12,21.69,306.55,466.42,0.43,0.08,59.84,141.67,217.23,18.77,0.34,1.67
2021,1,3,17,22.74,20.35,21.55,157.55,253.02,0.36,0.07,72.01,70.8,117.1,9.06,0.09,0.45
2021,1,3,18,22.19,20.6,21.4,37.03,62.42,0.24,0.06,83.73,15.98,27.5,2.14,0.01,0.02
2021,1,3,19,21.88,20.76,21.32,0,0,-999,-999,-999,0,0,0,0,0
2021,1,3,20,21.83,20.88,21.36,0,0,-999,-999,-999,0,0,0,0,0
2021,1,3,21,21.83,20.96,21.4,0,0,-999,-999,-999,0,0,0,0,0
2021,1,3,22,21.83,21,21.41,0,0,-999,-999,-999,0,0,0,0,0
2021,1,3,23,21.8,21.02,21.41,0,0,-999,-999,-999,0,0,0,0,0
